Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/15/2022,dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nepal,NPL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428628769,0.686184565,0.415308033,0.136727858,0.321841426,0.719637873,0.635275667,0.822554479,1.184260541,0.630576368,1.074529846,,
Nepal,NPL,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,17000000,5000000,6000000,38000000,43000000,57000000,51000000,50000000,49000000,54000000,42000000,48000000,58000000,63000000,66000000,100000000,98000000,81000000,91000000,109000000,80000000,141000000,88000000,93000000,127000000,160000000,142000000,151000000,191000000,159000000,204000000,257000000,369000000,384000000,362000000,345000000,385000000,406000000,474000000,602000000,804000000,737000000,568000000,662000000,772000000,863000000,838000000,868000000,939000000,823000000,856000000,919000000,911000000,879000000,889000000,721000000,696000000,742000000,786000000,968000000,856000000,1979000000
Nepal,NPL,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,34.77747188,32.03905564,29.43388542,30.61626054,35.8338415,37.58362383,33.03863195,35.17764696,38.46739219,36.87478892,35.36415814,34.55842897,32.98232979,35.60427708,27.48585111,28.79078831,34.55392421,27.62882431,25.24663322,15.92830185,23.1883874,23.29919078,29.14189154,28.16619127,28.54542694,26.27880013,15.03607468,17.1687048,16.57330457,17.33608969,18.01386718,17.38411332,11.54605824,11.57461838,15.69424118,16.86835356,11.01332161,14.07221891,16.44176507,17.43981178,15.59160676,13.76721696,13.82225545,17.13953709,17.68417387,12.67301015
Nepal,NPL,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,78.87231413,95.63872595,72.04970997,73.32018734,63.29527955,66.55269129,73.14257412,64.66467193,72.4845969,65.35459982,63.6515377,70.71063439,70.77940367,59.39585751,,,,,,,55.37623189,,,,41.07858212,58.38707039,45.58242168,,,58.55499083,,,,,,59.44066187,59.98271363,54.37497419,50.88444543,51.1791956,53.14706256,59.20664419,63.05866612,59.25814854,60.46649639,59.00683743,,
Nepal,NPL,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96,,,,,20.09,14.01,16.84,,15.45,15.86,15.49,15.4,13.13,13.29,421.5,12.65,13.05,12.45,12.45,15.04,10.55,12.31,12.35,,12.36,14.22,11.6,
Nepal,NPL,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,10.81964913,4.887589561,5.225651458,23.54371534,28.42175934,22.44082511,13.89483242,13.18330455,13.59700924,17.62523504,13.51077783,15.06628932,13.96349642,17.17927206,16.42098752,17.26119145,17.96539507,18.01215278,19.4494012,19.60837263,21.68643834,22.41183596,20.16339571,22.76094046,21.07540845,23.39771498,21.11699411,24.41452994,24.92106598,21.0199161,24.14844744,25.34759816,33.66447434,34.8083469,37.3022803,38.12679366,39.43311518,42.67394737,35.41823863,40.20945164,43.26339436,36.79007408,32.8382215,38.16460418,37.25629615,38.69495881,36.82115004,38.64175484,36.10077051,40.50568563,37.42503643,31.02365193,32.1474716,33.61578268,37.30049311,30.26584262,39.27157658,38.26852548,40.76526117,38.92799874,32.03955724,56.77228995
Nepal,NPL,Rural population growth (annual %),SP.RUR.TOTL.ZG,,1.498062514,1.560252523,1.587630182,1.633393146,1.693377097,1.758159631,1.821287156,1.876751319,1.923147035,1.960569156,1.99305161,1.879821621,1.905714455,1.927069244,1.946881788,1.961207068,1.973605088,1.983887344,1.990213365,1.994237566,2.005425524,2.072959579,2.06651632,2.037390963,1.999168313,1.940662849,1.895057173,1.908087089,1.996286295,2.122918671,2.252193634,2.265058045,2.266947568,2.169861565,2.008007237,1.830184654,1.666028874,1.502143631,1.345636786,1.195598901,1.044559412,1.201619435,1.07847986,0.985262073,0.908753124,0.874147974,0.826543276,0.685242899,0.417348437,0.080713479,-0.30568433,-0.615838196,-0.701929233,-0.487735286,-0.054903027,0.441432443,0.858041178,1.159671238,1.293539816,1.29791177,1.284600687
Nepal,NPL,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,70.84613895,71.55291271,72.62291413,73.76668002,74.49105054,74.58684508,75.00640818,74.82056426,74.24367911,73.6037427,73.06512205,73.18948419,73.21432299,73.20101837,73.16740982,73.11722841,73.62949159,74.06723234,74.43378825,74.70864349,74.88034988,75.58777038,76.08792928,76.432511,76.6770211,76.84433684,77.46485645,77.93650795,78.26736465,78.45612334,78.50266934,78.32466365,77.91636181,77.32973829,76.62105215,75.83242296,75.65783278,75.45412401,75.1870805,74.76654813,74.11868749,73.46234391,72.62973136,71.66612867,70.65004462,69.58899127,67.82856665,66.30059798,64.89323166,63.43502448,61.82221699,60.66180687,59.23920248,57.63951452,56.04594861,54.58285391,52.06869364,49.74143595,47.62791353,45.74125376,44.0770669,42.51341994
Nepal,NPL,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.193400176,1.198896067,1.200474933,1.20215769,1.2094706,1.224689408,1.243789092,1.266896807,1.290571894,1.31086298,1.326532869,1.336054715,1.343309658,1.348472822,1.351714862,1.353478068,1.350461407,1.346060528,1.341703934,1.338990506,1.338900368,1.335960251,1.334487853,1.334907813,1.337889528,1.343786415,1.348115085,1.3537519,1.360403188,1.367729719,1.37563715,1.372828867,1.372533482,1.373250776,1.372674645,1.370089415,1.371435552,1.370835237,1.372252878,1.380852716,1.399148589,1.441724769,1.504901562,1.589528399,1.689288413,1.795645521,1.86109196,1.937502334,2.024310007,2.110031121,2.182157708,2.186827062,2.163440666,2.133936909,2.129296556,2.165702543,2.174056881,2.217872812,2.275557146,2.320503492,2.341540413,2.343644322
Nepal,NPL,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,7.636705233,7.610309862,7.593579456,7.583905434,7.58166135,7.5850009,7.573683552,7.577501422,7.576154558,7.541403466,7.464495547,7.347486603,7.190439103,7.046006353,6.9916144,7.064358192,7.223499556,7.491752338,7.797351862,8.042035461,8.174314605,8.180242517,8.098018701,7.960447837,7.818775427,7.704919218,7.578048248,7.464879083,7.366174047,7.282945674,7.21860949,7.253644423,7.335682615,7.459017435,7.608850204,7.770272408,7.787460002,7.763141256,7.698557004,7.607053064,7.507448353,7.529743381,7.508394535,7.428843662,7.28417856,7.079203399,7.038015815,7.00586392,6.988649973,6.98799605,6.987766055,6.716324994,6.41524829,6.113699745,5.862120437,5.70930886,6.206163567,6.774678179,7.370284021,7.955244416,8.503041742,9.037549228
Nepal,NPL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,40.41393165,40.62414291,40.95844542,41.3173559,41.53985263,41.56146518,41.66992093,41.58792694,41.38403823,41.16290176,40.97763359,40.99168597,40.9775223,40.9554671,40.93167754,40.90725821,41.05079562,41.17437486,41.27923887,41.35887691,41.40952673,41.61619238,41.76052522,41.85909149,41.92893534,41.97676398,42.1498656,42.27941896,42.368618,42.41751761,42.4261952,42.35770429,42.22169671,42.03346759,41.80997166,41.56341069,41.49262538,41.41675974,41.32329061,41.1812583,40.9649845,40.72027698,40.41281137,40.05531785,39.67282555,39.26762609,38.6278152,38.05265679,37.50587627,36.93020654,36.28900924,35.81657189,35.24921466,34.61044932,33.96288364,33.35341351,32.32265357,31.33651056,30.41426532,29.5703756,28.80971382,28.06786674
